Uid,ClusterId,Categories
183219009880065,1,"4100,1003,10677044,"
183219009880065,1,"4100,1003,10677045,"
183219009880065,1,"4100,1003,10942002,"
183219009880065,1,"4100,1003,10942088,"
183219009880065,1,"4100,1003,10942089,"
183219009880065,1,"4100,1003,11017010,"
183219009880065,1,"4100,1003,11017011,"
183219009880065,1,"4100,1003,11017012,"
183219009880065,1,"4100,1003,11017013,"
183219009880065,1,"4100,1003,11017014,"
183219009880065,1,"4100,1003,10676830,"
183219009880065,1,"4100,1003,10676831,"
183219009880065,1,"4100,1003,10676832,"
183219009880065,1,"4100,1003,10676833,"
183219009880065,1,"4100,1003,10676834,"
183219009880065,1,"4100,1003,10676835,"
183219009880065,1,"4100,1003,10654288,"
183219009880065,1,"4100,1003,10654289,"
183219009880065,1,"4100,1003,10654870,"
183219009880065,1,"4100,1003,10654871,"
183219009880065,1,"4100,1003,10654872,"
183219009880065,1,"4100,1003,10654873,"
183219009880065,1,"4100,1003,10654874,"
183219009880065,1,"4100,1003,10654875,"
183219009880065,1,"4100,1003,10654876,"
183219009880065,1,"4100,1003,10654877,"
183219009880065,1,"4100,1003,10654878,"
183219009880065,1,"4100,1003,10654879,"
183219009880065,1,"4100,1003,10654880,"
183219009880065,1,"4100,1003,10654881,"
183219009880065,1,"4100,1003,10677078,"
183219009880065,1,"4100,1003,10677079,"
183219009880065,1,"4100,1003,10677080,"
183219009880065,1,"4100,1003,10677081,"
183219009880065,1,"4100,1003,10677082,"
183219009880065,1,"4100,1003,10677083,"
183219009880065,1,"4100,1003,10677084,"
183219009880065,1,"4100,1003,10677085,"
183219009880065,1,"4100,1003,10677086,"
